Product_ID,Product_Name,Category,Stock,Reorder_Level,Warehouse,Unit_Price,Supplier,Last_Restocked_Date
PROD00051,Mixer Grinder - Model 138,Home & Kitchen,122,30,Pune-WH7,3141.21,Aravind Distributors,2025-02-25
PROD00052,Spice Box - Model 236,Groceries,341,37,Mumbai-WH2,500.87,Nimbus Supply Co.,2025-05-01
PROD00053,Pen Set - Model 920,Books & Stationery,549,67,Delhi-WH3,965.08,Nimbus Supply Co.,2025-07-27
PROD00054,Bedsheet - Model 373,Home & Kitchen,190,52,Kolkata-WH6,6209.49,Indus Valley Suppliers,2025-03-05
PROD00055,Sketchbook - Model 224,Books & Stationery,178,29,Chennai-WH4,225.4,Indus Valley Suppliers,2025-03-06
PROD00056,Cookware Set - Model 140,Home & Kitchen,129,29,Bengaluru-WH1,1939.26,Meridian Logistics Supply,2025-03-05
PROD00057,Dress - Model 963,Fashion,103,33,Kolkata-WH6,1218.53,Sunrise Exports,2025-02-10
PROD00058,Rice Pack - Model 100,Groceries,178,40,Delhi-WH3,408.81,Meridian Logistics Supply,2025-03-14
PROD00059,Air Fryer - Model 479,Home & Kitchen,296,51,Chennai-WH4,5402.74,Skyline Traders,2025-04-29
PROD00060,Kurta - Model 772,Fashion,365,50,Delhi-WH3,2008.43,Nimbus Supply Co.,2025-05-12
PROD00061,Curtains - Model 156,Home & Kitchen,178,26,Kolkata-WH6,10471.58,Meridian Logistics Supply,2025-03-20
PROD00062,Saree - Model 224,Fashion,22,12,Delhi-WH3,3554.94,Sunrise Exports,2025-01-05
PROD00063,Sketchbook - Model 292,Books & Stationery,594,128,Kolkata-WH6,234.66,Coastal Goods Pvt Ltd,2025-08-08
PROD00064,Running Shoes - Model 360,Sports & Fitness,152,41,Mumbai-WH2,1744.77,Aravind Distributors,2025-02-26
PROD00065,T-Shirt - Model 929,Fashion,55,23,Bengaluru-WH1,4431.34,Indus Valley Suppliers,2025-01-24
PROD00066,Speaker - Model 380,Electronics,418,105,Mumbai-WH2,15586.76,Indus Valley Suppliers,2025-06-05
PROD00067,Rice Pack - Model 483,Groceries,533,142,Hyderabad-WH5,504.97,Vertex Imports,2025-07-21
PROD00068,Laptop - Model 226,Electronics,246,57,Delhi-WH3,62983.82,Nimbus Supply Co.,2025-04-15
PROD00069,Spice Box - Model 239,Groceries,217,53,Bengaluru-WH1,824.55,Ganga Wholesale,2025-03-26
PROD00070,Pen Set - Model 274,Books & Stationery,278,75,Kolkata-WH6,866.6,Nimbus Supply Co.,2025-04-22
PROD00071,Perfume - Model 215,Beauty & Personal Care,88,26,Kolkata-WH6,319.43,Sunrise Exports,2025-01-28
PROD00072,Sneakers - Model 786,Fashion,87,22,Bengaluru-WH1,1557.47,Skyline Traders,2025-02-06
PROD00073,Cooking Oil - Model 862,Groceries,151,36,Pune-WH7,690.9,Skyline Traders,2025-02-17
PROD00074,Camera - Model 163,Electronics,533,110,Kolkata-WH6,25806.95,Trident Sourcing,2025-08-02
PROD00075,Mixer Grinder - Model 126,Home & Kitchen,133,31,Delhi-WH3,8261.61,Indus Valley Suppliers,2025-03-03
PROD00076,Cooking Oil - Model 350,Groceries,192,35,Hyderabad-WH5,584.45,Vertex Imports,2025-03-14
PROD00077,Pen Set - Model 299,Books & Stationery,80,18,Chennai-WH4,919.1,Vertex Imports,2025-01-19
PROD00078,Pen Set - Model 838,Books & Stationery,122,32,Kolkata-WH6,871.92,Vertex Imports,2025-02-01
PROD00079,Jeans - Model 322,Fashion,304,69,Hyderabad-WH5,1893.5,Coastal Goods Pvt Ltd,2025-05-10
PROD00080,Trimmer - Model 691,Beauty & Personal Care,629,116,Pune-WH7,1745.96,Indus Valley Suppliers,2025-09-07
PROD00081,Vacuum Cleaner - Model 798,Home & Kitchen,252,46,Delhi-WH3,3894.31,Vertex Imports,2025-04-01
PROD00082,Dumbbells - Model 833,Sports & Fitness,329,88,Kolkata-WH6,10488.27,Sunrise Exports,2025-04-28
PROD00083,Camera - Model 957,Electronics,45,21,Kolkata-WH6,33425.7,Trident Sourcing,2025-01-16
PROD00084,Jeans - Model 389,Fashion,411,57,Delhi-WH3,790.29,Indus Valley Suppliers,2025-06-04
PROD00085,Jacket - Model 606,Fashion,78,24,Chennai-WH4,2227.7,Ganga Wholesale,2025-02-08
PROD00086,Pen Set - Model 424,Books & Stationery,127,36,Bengaluru-WH1,75.03,Indus Valley Suppliers,2025-02-28
PROD00087,Mixer Grinder - Model 276,Home & Kitchen,261,51,Delhi-WH3,8912.79,Aravind Distributors,2025-04-05
PROD00088,Cooking Oil - Model 202,Groceries,30,13,Chennai-WH4,282.51,Sunrise Exports,2025-01-03
PROD00089,Fiction Novel - Model 900,Books & Stationery,258,65,Kolkata-WH6,743.16,Vertex Imports,2025-04-12
PROD00090,Air Fryer - Model 186,Home & Kitchen,29,14,Mumbai-WH2,5716.34,Aravind Distributors,2025-01-01
PROD00091,Curtains - Model 968,Home & Kitchen,82,18,Chennai-WH4,6605.02,Nimbus Supply Co.,2025-02-10
PROD00092,Shampoo - Model 153,Beauty & Personal Care,246,45,Bengaluru-WH1,2528.42,Nimbus Supply Co.,2025-04-04
PROD00093,Vacuum Cleaner - Model 878,Home & Kitchen,679,65,Pune-WH7,2280.65,Vertex Imports,2025-09-07
PROD00094,Laptop - Model 714,Electronics,109,34,Delhi-WH3,69692.85,Vertex Imports,2025-02-16
PROD00095,Cycling Helmet - Model 447,Sports & Fitness,390,52,Kolkata-WH6,8748.11,Aravind Distributors,2025-05-24
PROD00096,Cooking Oil - Model 798,Groceries,576,69,Pune-WH7,121.78,Indus Valley Suppliers,2025-08-12
PROD00097,Cookware Set - Model 194,Home & Kitchen,455,83,Hyderabad-WH5,11886.59,Sunrise Exports,2025-06-27
PROD00098,Smartphone - Model 436,Electronics,172,30,Delhi-WH3,54101.76,Ganga Wholesale,2025-03-21
PROD00099,Watch - Model 614,Fashion,455,117,Kolkata-WH6,3352.1,Aravind Distributors,2025-06-26
PROD00100,Saree - Model 778,Fashion,264,44,Chennai-WH4,3025.82,Indus Valley Suppliers,2025-04-21
PROD00101,Jacket - Model 932,Fashion,252,48,Kolkata-WH6,941.62,Vertex Imports,2025-03-24
PROD00102,Trimmer - Model 190,Beauty & Personal Care,34,14,Mumbai-WH2,2216.73,Skyline Traders,2025-01-09
PROD00103,Snack Box - Model 768,Groceries,71,25,Delhi-WH3,844.89,Ganga Wholesale,2025-02-05
PROD00104,Cooking Oil - Model 751,Groceries,93,30,Hyderabad-WH5,401.09,Coastal Goods Pvt Ltd,2025-01-28
PROD00105,Snack Box - Model 960,Groceries,194,45,Mumbai-WH2,287.46,Ganga Wholesale,2025-03-02
PROD00106,Notebook - Model 828,Books & Stationery,70,23,Kolkata-WH6,749.29,Indus Valley Suppliers,2025-02-07
PROD00107,Saree - Model 804,Fashion,363,88,Mumbai-WH2,3782.99,Sunrise Exports,2025-05-15
PROD00108,Shampoo - Model 739,Beauty & Personal Care,30,13,Kolkata-WH6,1523.95,Nimbus Supply Co.,2025-01-19
PROD00109,Cycling Helmet - Model 579,Sports & Fitness,361,71,Hyderabad-WH5,3464.04,Ganga Wholesale,2025-05-30
PROD00110,Cycling Helmet - Model 907,Sports & Fitness,69,27,Bengaluru-WH1,2015.42,Coastal Goods Pvt Ltd,2025-01-16
PROD00111,Sketchbook - Model 989,Books & Stationery,291,55,Delhi-WH3,115.7,Coastal Goods Pvt Ltd,2025-04-06
PROD00112,Jeans - Model 597,Fashion,155,48,Delhi-WH3,4108.38,Nimbus Supply Co.,2025-02-16
PROD00113,Tea Pack - Model 347,Groceries,327,60,Chennai-WH4,343.97,Nimbus Supply Co.,2025-05-03
PROD00114,T-Shirt - Model 780,Fashion,72,24,Chennai-WH4,3619.06,Trident Sourcing,2025-01-23
PROD00115,Notebook - Model 708,Books & Stationery,24,16,Delhi-WH3,132.83,Ganga Wholesale,2025-01-04
PROD00116,Rice Pack - Model 210,Groceries,178,50,Pune-WH7,404.33,Vertex Imports,2025-03-18
PROD00117,Snack Box - Model 382,Groceries,108,24,Chennai-WH4,529.44,Skyline Traders,2025-02-20
PROD00118,Pen Set - Model 849,Books & Stationery,135,25,Kolkata-WH6,397.44,Nimbus Supply Co.,2025-02-12
PROD00119,Laptop - Model 933,Electronics,404,105,Mumbai-WH2,56274.38,Meridian Logistics Supply,2025-05-27
PROD00120,Dress - Model 807,Fashion,117,34,Pune-WH7,2617.49,Aravind Distributors,2025-02-07
PROD00121,Curtains - Model 153,Home & Kitchen,151,40,Chennai-WH4,7527.56,Trident Sourcing,2025-02-18
PROD00122,Laptop - Model 783,Electronics,106,24,Kolkata-WH6,25355.27,Aravind Distributors,2025-01-28
PROD00123,Saree - Model 212,Fashion,391,89,Bengaluru-WH1,745.86,Coastal Goods Pvt Ltd,2025-05-18
PROD00124,T-Shirt - Model 408,Fashion,119,25,Delhi-WH3,4287.57,Meridian Logistics Supply,2025-02-16
PROD00125,Sketchbook - Model 634,Books & Stationery,350,79,Chennai-WH4,282.17,Indus Valley Suppliers,2025-05-18
PROD00126,Headphones - Model 934,Electronics,211,58,Mumbai-WH2,67760.35,Skyline Traders,2025-03-26
PROD00127,Notebook - Model 516,Books & Stationery,126,34,Hyderabad-WH5,414.86,Skyline Traders,2025-02-18
PROD00128,Cricket Bat - Model 780,Sports & Fitness,147,40,Bengaluru-WH1,14657.96,Sunrise Exports,2025-03-07
PROD00129,Snack Box - Model 489,Groceries,523,128,Mumbai-WH2,511.12,Nimbus Supply Co.,2025-07-14
PROD00130,Dumbbells - Model 763,Sports & Fitness,328,80,Delhi-WH3,9223.77,Indus Valley Suppliers,2025-04-24
PROD00131,Shampoo - Model 744,Beauty & Personal Care,266,40,Mumbai-WH2,2154.81,Ganga Wholesale,2025-03-29
PROD00132,T-Shirt - Model 730,Fashion,258,55,Hyderabad-WH5,1729.69,Skyline Traders,2025-04-13
PROD00133,Sneakers - Model 747,Fashion,56,19,Mumbai-WH2,3141.85,Skyline Traders,2025-01-27
PROD00134,Dumbbells - Model 822,Sports & Fitness,69,25,Bengaluru-WH1,461.24,Vertex Imports,2025-01-21
PROD00135,Watch - Model 295,Fashion,160,44,Hyderabad-WH5,3937.56,Vertex Imports,2025-03-03
PROD00136,Speaker - Model 885,Electronics,212,57,Chennai-WH4,71446.03,Coastal Goods Pvt Ltd,2025-03-28
PROD00137,Bedsheet - Model 248,Home & Kitchen,116,35,Pune-WH7,7034.78,Sunrise Exports,2025-02-02
PROD00138,Spice Box - Model 309,Groceries,71,25,Mumbai-WH2,76.67,Trident Sourcing,2025-02-06
PROD00139,Watch - Model 233,Fashion,92,20,Hyderabad-WH5,432.03,Aravind Distributors,2025-02-10
PROD00140,Cricket Bat - Model 753,Sports & Fitness,41,15,Kolkata-WH6,14894.67,Coastal Goods Pvt Ltd,2025-01-09
PROD00141,Face Cream - Model 152,Beauty & Personal Care,670,101,Delhi-WH3,2532.21,Nimbus Supply Co.,2025-09-07
PROD00142,Vacuum Cleaner - Model 752,Home & Kitchen,394,57,Chennai-WH4,5796.6,Ganga Wholesale,2025-05-30
PROD00143,Bedsheet - Model 487,Home & Kitchen,64,22,Hyderabad-WH5,3648.11,Nimbus Supply Co.,2025-01-17
PROD00144,Bedsheet - Model 521,Home & Kitchen,294,44,Hyderabad-WH5,9216.77,Skyline Traders,2025-04-27
PROD00145,Vacuum Cleaner - Model 848,Home & Kitchen,122,24,Mumbai-WH2,11681.62,Coastal Goods Pvt Ltd,2025-02-25
PROD00146,Curtains - Model 733,Home & Kitchen,512,99,Bengaluru-WH1,3042.68,Vertex Imports,2025-07-25
PROD00147,Notebook - Model 880,Books & Stationery,145,40,Delhi-WH3,542.47,Sunrise Exports,2025-02-24
PROD00148,Makeup Kit - Model 555,Beauty & Personal Care,232,65,Kolkata-WH6,1659.33,Skyline Traders,2025-04-12
PROD00149,Rice Pack - Model 245,Groceries,386,102,Delhi-WH3,487.18,Indus Valley Suppliers,2025-06-10
PROD00150,Monitor - Model 937,Electronics,115,36,Mumbai-WH2,54661.88,Sunrise Exports,2025-02-25
PROD00151,Tablet - Model 923,Electronics,473,128,Pune-WH7,6906.61,Nimbus Supply Co.,2025-06-16
PROD00152,Bedsheet - Model 822,Home & Kitchen,230,52,Kolkata-WH6,5668.31,Skyline Traders,2025-03-21
PROD00153,Mixer Grinder - Model 199,Home & Kitchen,123,28,Mumbai-WH2,10084.81,Vertex Imports,2025-02-19
PROD00154,Sneakers - Model 122,Fashion,113,37,Chennai-WH4,2254.1,Nimbus Supply Co.,2025-02-25
PROD00155,Kurta - Model 690,Fashion,601,138,Chennai-WH4,3671.59,Aravind Distributors,2025-08-06
PROD00156,Makeup Kit - Model 233,Beauty & Personal Care,216,63,Mumbai-WH2,954.59,Meridian Logistics Supply,2025-03-12
PROD00157,Perfume - Model 916,Beauty & Personal Care,34,14,Hyderabad-WH5,1460.5,Coastal Goods Pvt Ltd,2025-01-07
PROD00158,Sneakers - Model 354,Fashion,280,65,Bengaluru-WH1,1578.29,Meridian Logistics Supply,2025-04-03
PROD00159,Jacket - Model 416,Fashion,357,77,Bengaluru-WH1,2822.52,Nimbus Supply Co.,2025-05-04
PROD00160,Vacuum Cleaner - Model 697,Home & Kitchen,181,33,Pune-WH7,5257.89,Sunrise Exports,2025-03-12
PROD00161,Textbook - Model 925,Books & Stationery,279,59,Chennai-WH4,140.32,Sunrise Exports,2025-04-17
PROD00162,Mixer Grinder - Model 569,Home & Kitchen,487,130,Delhi-WH3,2630.04,Indus Valley Suppliers,2025-07-18
PROD00163,Cooking Oil - Model 116,Groceries,190,51,Kolkata-WH6,829.4,Meridian Logistics Supply,2025-03-05
PROD00164,Curtains - Model 669,Home & Kitchen,385,42,Mumbai-WH2,9063.69,Ganga Wholesale,2025-05-14
PROD00165,Dress - Model 987,Fashion,146,34,Kolkata-WH6,3955.98,Trident Sourcing,2025-02-16
PROD00166,Cycling Helmet - Model 621,Sports & Fitness,344,63,Hyderabad-WH5,5192.94,Ganga Wholesale,2025-05-05
PROD00167,Textbook - Model 664,Books & Stationery,84,27,Bengaluru-WH1,594.07,Trident Sourcing,2025-01-28
PROD00168,Running Shoes - Model 947,Sports & Fitness,366,70,Chennai-WH4,14317.95,Nimbus Supply Co.,2025-05-07
PROD00169,Mixer Grinder - Model 688,Home & Kitchen,330,49,Delhi-WH3,2172.41,Aravind Distributors,2025-05-06
PROD00170,Pen Set - Model 945,Books & Stationery,567,148,Mumbai-WH2,988.06,Indus Valley Suppliers,2025-08-03
PROD00171,Notebook - Model 828,Books & Stationery,332,40,Kolkata-WH6,252.72,Ganga Wholesale,2025-05-21
PROD00172,Dumbbells - Model 938,Sports & Fitness,46,15,Pune-WH7,3945.12,Sunrise Exports,2025-01-14
PROD00173,Jacket - Model 656,Fashion,135,35,Chennai-WH4,3187.78,Coastal Goods Pvt Ltd,2025-02-21
PROD00174,Vacuum Cleaner - Model 452,Home & Kitchen,386,73,Hyderabad-WH5,4606.47,Trident Sourcing,2025-05-13
PROD00175,Cricket Bat - Model 146,Sports & Fitness,81,18,Mumbai-WH2,6287.06,Meridian Logistics Supply,2025-01-27
PROD00176,Perfume - Model 114,Beauty & Personal Care,182,43,Mumbai-WH2,2727.34,Coastal Goods Pvt Ltd,2025-03-12
PROD00177,Pen Set - Model 513,Books & Stationery,181,40,Delhi-WH3,704.56,Aravind Distributors,2025-03-14
PROD00178,Notebook - Model 538,Books & Stationery,350,49,Delhi-WH3,62.37,Vertex Imports,2025-05-20
PROD00179,Tea Pack - Model 904,Groceries,117,31,Hyderabad-WH5,873.54,Ganga Wholesale,2025-02-01
PROD00180,Spice Box - Model 772,Groceries,348,75,Pune-WH7,57.74,Skyline Traders,2025-05-04
PROD00181,Cricket Bat - Model 427,Sports & Fitness,389,43,Chennai-WH4,2009.0,Vertex Imports,2025-06-05
PROD00182,T-Shirt - Model 202,Fashion,549,117,Chennai-WH4,2053.11,Skyline Traders,2025-07-19
PROD00183,Snack Box - Model 915,Groceries,84,31,Hyderabad-WH5,224.78,Vertex Imports,2025-01-23
PROD00184,Running Shoes - Model 866,Sports & Fitness,92,32,Hyderabad-WH5,14894.03,Meridian Logistics Supply,2025-02-10
PROD00185,Pen Set - Model 269,Books & Stationery,276,79,Pune-WH7,684.45,Vertex Imports,2025-04-20
PROD00186,Bedsheet - Model 916,Home & Kitchen,598,83,Chennai-WH4,3836.51,Trident Sourcing,2025-08-04
PROD00187,Air Fryer - Model 368,Home & Kitchen,54,21,Kolkata-WH6,4542.18,Skyline Traders,2025-01-17
PROD00188,Jeans - Model 737,Fashion,184,54,Pune-WH7,3496.19,Ganga Wholesale,2025-03-15
PROD00189,Notebook - Model 517,Books & Stationery,13,12,Chennai-WH4,66.99,Nimbus Supply Co.,2025-01-01
PROD00190,T-Shirt - Model 397,Fashion,546,98,Bengaluru-WH1,3635.31,Ganga Wholesale,2025-07-15
PROD00191,Cricket Bat - Model 948,Sports & Fitness,221,38,Delhi-WH3,7617.09,Coastal Goods Pvt Ltd,2025-03-29
PROD00192,Sketchbook - Model 656,Books & Stationery,267,44,Hyderabad-WH5,887.2,Vertex Imports,2025-04-04
PROD00193,Dumbbells - Model 823,Sports & Fitness,28,16,Chennai-WH4,8686.24,Nimbus Supply Co.,2025-01-13
PROD00194,Running Shoes - Model 662,Sports & Fitness,300,80,Bengaluru-WH1,9422.18,Sunrise Exports,2025-04-19
PROD00195,Shampoo - Model 389,Beauty & Personal Care,157,37,Bengaluru-WH1,1333.07,Indus Valley Suppliers,2025-02-15
PROD00196,Textbook - Model 136,Books & Stationery,754,128,Hyderabad-WH5,267.4,Meridian Logistics Supply,2025-09-29
PROD00197,Snack Box - Model 779,Groceries,93,20,Chennai-WH4,258.09,Indus Valley Suppliers,2025-02-05
PROD00198,Vacuum Cleaner - Model 544,Home & Kitchen,84,27,Delhi-WH3,4030.63,Nimbus Supply Co.,2025-01-20
PROD00199,Tablet - Model 727,Electronics,942,122,Bengaluru-WH1,49100.62,Nimbus Supply Co.,2025-12-18
PROD00200,Running Shoes - Model 793,Sports & Fitness,132,38,Bengaluru-WH1,912.24,Meridian Logistics Supply,2025-02-08
PROD00201,Mixer Grinder - Model 963,Home & Kitchen,155,31,Delhi-WH3,8980.36,Indus Valley Suppliers,2025-03-12
PROD00202,Curtains - Model 249,Home & Kitchen,124,36,Mumbai-WH2,3331.1,Coastal Goods Pvt Ltd,2025-02-26
PROD00203,Cycling Helmet - Model 226,Sports & Fitness,192,39,Hyderabad-WH5,10091.23,Ganga Wholesale,2025-03-13
PROD00204,Cooking Oil - Model 509,Groceries,458,71,Delhi-WH3,607.14,Aravind Distributors,2025-06-23
PROD00205,Air Fryer - Model 625,Home & Kitchen,400,92,Bengaluru-WH1,9635.35,Meridian Logistics Supply,2025-05-28
PROD00206,Rice Pack - Model 421,Groceries,172,32,Bengaluru-WH1,429.48,Trident Sourcing,2025-03-01
PROD00207,Cookware Set - Model 328,Home & Kitchen,81,23,Chennai-WH4,1412.77,Ganga Wholesale,2025-02-08
PROD00208,Bedsheet - Model 467,Home & Kitchen,214,61,Bengaluru-WH1,9387.94,Indus Valley Suppliers,2025-04-06
PROD00209,Pen Set - Model 296,Books & Stationery,188,44,Delhi-WH3,512.79,Nimbus Supply Co.,2025-03-27
PROD00210,Sketchbook - Model 404,Books & Stationery,279,55,Pune-WH7,808.16,Ganga Wholesale,2025-04-16
PROD00211,Pen Set - Model 121,Books & Stationery,119,36,Kolkata-WH6,866.52,Nimbus Supply Co.,2025-02-18
PROD00212,Spice Box - Model 752,Groceries,144,37,Pune-WH7,198.05,Coastal Goods Pvt Ltd,2025-03-04
PROD00213,Jacket - Model 527,Fashion,230,47,Chennai-WH4,2963.86,Vertex Imports,2025-03-14
PROD00214,Monitor - Model 617,Electronics,246,38,Chennai-WH4,28799.88,Vertex Imports,2025-03-30
PROD00215,Sketchbook - Model 767,Books & Stationery,476,105,Bengaluru-WH1,725.21,Sunrise Exports,2025-07-14
PROD00216,Sneakers - Model 314,Fashion,38,16,Bengaluru-WH1,398.69,Sunrise Exports,2025-01-29
PROD00217,Jeans - Model 151,Fashion,116,35,Hyderabad-WH5,4255.03,Skyline Traders,2025-02-17
PROD00218,Jacket - Model 887,Fashion,148,43,Mumbai-WH2,1783.79,Sunrise Exports,2025-02-21
PROD00219,Rice Pack - Model 615,Groceries,438,59,Chennai-WH4,843.76,Skyline Traders,2025-06-03
PROD00220,Kurta - Model 804,Fashion,148,25,Pune-WH7,2801.02,Indus Valley Suppliers,2025-02-15
PROD00221,Dumbbells - Model 144,Sports & Fitness,257,59,Kolkata-WH6,12099.75,Sunrise Exports,2025-04-11
PROD00222,Perfume - Model 509,Beauty & Personal Care,573,131,Hyderabad-WH5,1681.71,Meridian Logistics Supply,2025-08-14
PROD00223,Tablet - Model 446,Electronics,113,29,Kolkata-WH6,12632.28,Vertex Imports,2025-02-02
PROD00224,Sketchbook - Model 636,Books & Stationery,73,24,Delhi-WH3,652.41,Trident Sourcing,2025-01-24
PROD00225,Yoga Mat - Model 293,Sports & Fitness,204,55,Bengaluru-WH1,13808.65,Indus Valley Suppliers,2025-03-28
PROD00226,Snack Box - Model 361,Groceries,243,64,Kolkata-WH6,739.72,Indus Valley Suppliers,2025-04-08
PROD00227,Notebook - Model 448,Books & Stationery,380,53,Hyderabad-WH5,293.93,Ganga Wholesale,2025-06-02
PROD00228,Cycling Helmet - Model 927,Sports & Fitness,67,23,Delhi-WH3,12283.16,Ganga Wholesale,2025-01-31
PROD00229,Snack Box - Model 547,Groceries,164,47,Bengaluru-WH1,100.01,Skyline Traders,2025-02-18
